V160001,clinton,trump,pid7,pid3,ideo7,education,income,feeldem,feelrep
401283,85,0,1,(1) 1. Democrat,,13,27,75,60
401289,85,0,4,(3) 3. Independent,4,9,11,100,50
401293,83,0,1,(1) 1. Democrat,1,16,25,78,5
401295,0,80,6,(2) 2. Republican,,13,18,16,70
401303,30,70,6,(2) 2. Republican,5,13,27,15,60
401304,40,70,6,(2) 2. Republican,3,7,22,70,50
401306,32,61,4,(3) 3. Independent,5,9,11,31,30
401309,15,65,6,(2) 2. Republican,6,9,19,15,65
401311,0,,7,(2) 2. Republican,4,16,27,15,50
401314,0,60,7,(2) 2. Republican,,9,2,31,62
401318,0,60,7,(2) 2. Republican,6,13,14,0,71
401320,0,80,7,(2) 2. Republican,6,10,15,0,100
401326,2,40,7,(2) 2. Republican,,4,2,13,72
401330,70,0,3,(3) 3. Independent,2,13,9,70,15
401331,0,60,6,(2) 2. Republican,6,9,9,50,50
401335,90,0,1,(1) 1. Democrat,3,16,27,90,15
401343,0,15,7,(2) 2. Republican,6,13,18,15,70
401346,40,49,6,(2) 2. Republican,6,14,28,55,75
401348,60,0,2,(1) 1. Democrat,4,13,1,60,0
401349,0,10,6,(2) 2. Republican,7,13,15,0,17
401350,30,100,7,(2) 2. Republican,6,13,23,0,70
401351,60,85,4,(3) 3. Independent,,9,27,60,60
401352,2,62,7,(2) 2. Republican,7,11,18,1,50
401353,95,15,1,(1) 1. Democrat,,11,12,65,11
401354,60,0,3,(3) 3. Independent,2,15,25,30,0
401356,0,70,6,(2) 2. Republican,6,10,20,30,70
401359,62,32,4,(3) 3. Independent,3,9,19,50,51
401361,60,0,2,(1) 1. Democrat,2,14,24,70,30
401367,100,0,1,(1) 1. Democrat,2,13,22,100,0
401369,0,100,6,(2) 2. Republican,6,10,13,0,0
401372,0,85,6,(2) 2. Republican,NA,12,9,0,85
401373,31,60,6,(2) 2. Republican,5,9,15,31,60
401377,70,1,3,(3) 3. Independent,2,14,27,60,16
401379,70,15,3,(3) 3. Independent,2,15,25,60,30
401380,0,30,5,(3) 3. Independent,,13,21,0,0
401381,45,26,2,(1) 1. Democrat,3,16,28,61,46
401382,61,16,4,(3) 3. Independent,3,13,17,30,14
401387,85,1,1,(1) 1. Democrat,4,9,20,70,16
401389,40,30,5,(3) 3. Independent,,13,,41,40
401390,40,0,3,(3) 3. Independent,4,10,6,50,50
